date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_2pCal
2021-01-19T09:49:00Z,39867,28.88,CT_324,106.828,28.953,0.516,WL_877,1.0682800000000001,12.233564678399999,137.88,43475.190103604145,46042.91127116885,29.847340922565998
2021-01-19T09:50:00Z,39902,28.87,CT_324,107.099,28.953,0.543,WL_877,1.07099,12.219713988400002,137.87,43503.93800936139,46073.36919654486,29.86939729091124
2021-01-19T09:51:00Z,39894.2,28.88,CT_324,106.756,28.953,0.509,WL_877,1.06756,12.233564678399999,137.88,43504.851858208654,46074.33740411552,29.870099435220208
2021-01-19T09:52:00Z,39905.9,28.89,CT_324,106.828,28.953,0.516,WL_877,1.0682800000000001,12.247415535600002,137.89,43527.03228309631,46097.83719334334,29.887119071999795
2021-01-19T09:53:00Z,39878.6,28.88,CT_324,106.846,28.953,0.518,WL_877,1.06846,12.233564678399999,137.88,43487.83996953842,46056.31359257257,29.85704631476171
2021-01-19T09:54:00Z,39909.8,28.92,CT_324,107.243,28.953,0.557,WL_877,1.07243,12.288969110400004,137.92000000000002,43559.558230078124,46132.29789021363,29.912078812951542
2021-01-19T09:55:00Z,39878.6,28.92,CT_324,106.846,28.953,0.518,WL_877,1.06846,12.288969110400004,137.92000000000002,43525.50498459008,46096.2190461182,29.88594702603408
2021-01-19T09:56:00Z,39894.2,28.94,CT_324,106.683,28.953,0.502,WL_877,1.0668300000000002,12.316672329600001,137.94,43561.376245679014,46134.22404733868,29.913475620561123
2021-01-19T09:57:00Z,39886.4,28.97,CT_324,106.543,29.053,0.488,WL_877,1.06543,12.358228412399999,137.97,43581.12663210116,46155.14925145172,29.928634331789812
2021-01-19T09:58:00Z,39972.3,28.99,CT_324,106.886,29.053,0.522,WL_877,1.06886,12.385933303599998,137.99,43693.87313673796,46274.60228756613,30.01518726817963
2021-01-19T09:59:00Z,39952.8,28.99,CT_324,107.283,29.053,0.561,WL_877,1.07283,12.385933303599998,137.99,43672.55761258332,46252.018846200524,29.99881974121324
2021-01-19T10:00:00Z,39956.7,29.02,CT_324,106.723,29.053,0.506,WL_877,1.0672300000000001,12.427491894400001,138.02,43705.149839564234,46286.549765621414,30.023846695894303
2021-01-19T10:01:00Z,39956.7,29.02,CT_324,107.337,29.053,0.567,WL_877,1.0733700000000002,12.427491894400001,138.02,43705.149839564234,46286.549765621414,30.023844995053487
2021-01-19T10:02:00Z,39956.7,29.02,CT_324,106.904,29.053,0.524,WL_877,1.06904,12.427491894400001,138.02,43705.149839564234,46286.549765621414,30.023846194506287
2021-01-19T10:03:00Z,39988,29.02,CT_324,106.976,29.053,0.531,WL_877,1.06976,12.427491894400001,138.02,43739.38618015238,46322.82259591336,30.050137096004708
2021-01-19T10:04:00Z,39944.9,29.02,CT_324,106.813,29.053,0.515,WL_877,1.06813,12.427491894400001,138.02,43692.242848543785,46272.87502448899,30.013935660697015
2021-01-19T10:05:00Z,39976.2,29.02,CT_324,106.813,29.053,0.515,WL_877,1.06813,12.427491894400001,138.02,43726.479189131926,46309.14785478093,30.040225490690926
2021-01-19T10:06:00Z,39944.9,29.05,CT_324,107.102,29.053,0.543,WL_877,1.07102,12.46905199,138.05,43720.570750065584,46302.887962401604,30.035687402887316
2021-01-19T10:07:00Z,39952.8,29.03,CT_324,106.868,29.053,0.52,WL_877,1.06868,12.441345092400002,138.03,43710.32767700859,46292.03559780066,30.027822292712276
2021-01-19T10:08:00Z,39956.7,29.03,CT_324,106.849,29.053,0.518,WL_877,1.0684900000000002,12.441345092400002,138.03,43714.59446877137,46296.55619231643,30.03109882089521
